epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.03097,1.17309,4.67013,1.25976,0.09014,0.23957,0.07682,0.05991,0.83125,16.2739,0.99526,9.375e-05,9.375e-05,9.375e-05
2,12.5306,0.9451,2.68052,1.10237,0.1422,0.37612,0.14842,0.11272,0.78155,3.70057,1.0054,0.00019343,0.00019343,0.00019343
3,17.8376,0.94148,2.32976,1.09994,0.19143,0.42643,0.2206,0.16605,0.74372,2.905,0.9385,0.000292781,0.000292781,0.000292781
4,22.7981,0.93477,2.16372,1.07753,0.23217,0.4256,0.23546,0.17345,0.75227,2.79033,0.93207,0.000391801,0.000391801,0.000391801
5,27.6983,0.9369,1.89038,1.06354,0.23328,0.50522,0.2916,0.21683,0.78582,1.90709,0.96237,0.000490491,0.000490491,0.000490491
6,32.4572,0.92257,1.70507,1.05122,0.25799,0.47521,0.31329,0.23522,0.80241,1.82596,0.9995,0.000588852,0.000588852,0.000588852
7,37.0618,0.95287,1.66301,1.06528,0.33955,0.38421,0.35212,0.26797,0.85044,1.80403,1.01993,0.000618813,0.000618813,0.000618813
8,41.6454,0.93466,1.60691,1.09264,0.33264,0.48051,0.39745,0.30007,0.82143,1.50282,0.98731,0.000617781,0.000617781,0.000617781
9,46.3568,0.88309,1.4919,1.04836,0.48622,0.46587,0.49795,0.37639,0.73011,1.41639,0.95692,0.00061675,0.00061675,0.00061675
10,51.0205,0.89535,1.3909,1.06692,0.57192,0.50626,0.5251,0.39462,0.74977,1.5659,0.95829,0.000615719,0.000615719,0.000615719
11,55.7598,0.83803,1.33238,1.06433,0.42011,0.54986,0.48031,0.36407,0.74269,1.44529,0.99055,0.000614687,0.000614687,0.000614687
12,60.6939,0.9022,1.33589,1.06837,0.47082,0.57269,0.53331,0.41334,0.74902,1.30334,0.99331,0.000613656,0.000613656,0.000613656
13,65.182,0.86617,1.21202,1.07018,0.44435,0.53357,0.50429,0.39085,0.73711,1.36966,0.98418,0.000612625,0.000612625,0.000612625
14,69.5339,0.86728,1.19139,1.04908,0.53948,0.5337,0.55708,0.4344,0.71309,1.25472,0.96198,0.000611594,0.000611594,0.000611594
15,74.0037,0.82772,1.13114,1.05654,0.56212,0.49688,0.54146,0.43064,0.72445,1.29824,0.99905,0.000610562,0.000610562,0.000610562
16,78.4173,0.85336,1.07606,1.05411,0.56399,0.53246,0.57559,0.44705,0.74821,1.26921,0.98835,0.000609531,0.000609531,0.000609531
17,82.974,0.83697,1.06998,1.04569,0.49861,0.65562,0.61011,0.46218,0.75488,1.16267,0.98225,0.0006085,0.0006085,0.0006085
18,87.4689,0.82718,1.01716,1.04836,0.58103,0.6099,0.62448,0.48315,0.75891,1.23281,0.98469,0.000607469,0.000607469,0.000607469
19,91.994,0.80308,1.00914,1.01863,0.54611,0.58794,0.59223,0.46226,0.73291,1.12379,0.97768,0.000606437,0.000606437,0.000606437
20,96.4995,0.82829,1.01415,1.03737,0.57928,0.61617,0.63295,0.48657,0.76272,1.14085,0.99137,0.000605406,0.000605406,0.000605406
21,100.971,0.82996,1.00363,1.05411,0.59829,0.61949,0.64569,0.51702,0.67767,1.02317,0.96229,0.000604375,0.000604375,0.000604375
22,105.473,0.77033,0.9411,1.02734,0.66606,0.59276,0.64732,0.50805,0.67693,1.09698,0.95676,0.000603344,0.000603344,0.000603344
23,109.922,0.82483,0.93407,1.03309,0.63608,0.60543,0.6382,0.48987,0.71942,1.06934,0.9583,0.000602312,0.000602312,0.000602312
24,114.667,0.80373,0.95503,1.03414,0.58879,0.65494,0.67267,0.5209,0.70557,1.14222,0.97342,0.000601281,0.000601281,0.000601281
25,119.535,0.7856,0.8704,1.001,0.68522,0.61733,0.71294,0.56744,0.71406,1.1093,0.9767,0.00060025,0.00060025,0.00060025
26,124.395,0.72328,0.80634,0.99375,0.62133,0.60786,0.6627,0.52382,0.733,1.21808,0.98807,0.000599219,0.000599219,0.000599219
27,129.063,0.79052,0.85114,1.00572,0.69831,0.58767,0.68737,0.54175,0.74208,1.03572,0.9789,0.000598187,0.000598187,0.000598187
28,133.57,0.75861,0.87191,1.02412,0.61172,0.61593,0.66533,0.52607,0.70703,1.06067,0.95887,0.000597156,0.000597156,0.000597156
29,138.52,0.74783,0.80903,0.98512,0.71441,0.66432,0.73016,0.58188,0.67312,0.93229,0.95358,0.000596125,0.000596125,0.000596125
30,143.714,0.76949,0.84238,0.99049,0.60473,0.69692,0.69474,0.54862,0.6697,0.88399,0.95099,0.000595094,0.000595094,0.000595094
31,148.667,0.76032,0.82546,0.99815,0.63262,0.63032,0.65188,0.51409,0.6703,1.1865,0.95572,0.000594062,0.000594062,0.000594062
32,153.471,0.75024,0.78991,0.99321,0.63746,0.64227,0.67296,0.53995,0.63615,1.08823,0.95955,0.000593031,0.000593031,0.000593031
33,158.214,0.74599,0.76284,0.9905,0.64709,0.64935,0.67449,0.52806,0.67418,1.13278,0.96069,0.000592,0.000592,0.000592
34,163.056,0.71633,0.75281,0.97694,0.61301,0.64686,0.65713,0.51919,0.6829,1.03814,0.94843,0.000590969,0.000590969,0.000590969
35,167.84,0.74688,0.74835,0.98452,0.66431,0.62224,0.6873,0.54262,0.70944,1.04589,0.93822,0.000589938,0.000589938,0.000589938
36,172.642,0.74484,0.73158,1.02767,0.67055,0.62186,0.67132,0.53144,0.65311,1.05736,0.93669,0.000588906,0.000588906,0.000588906
37,177.371,0.7519,0.77298,0.98344,0.67923,0.66623,0.68639,0.53641,0.68803,1.04527,0.96611,0.000587875,0.000587875,0.000587875
38,182.127,0.72254,0.72479,0.99389,0.66787,0.68277,0.7274,0.56597,0.68334,0.93078,0.95749,0.000586844,0.000586844,0.000586844
