epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,226.413,0.65907,0.69346,0.94773,0.68549,0.68418,0.73001,0.59634,0.69422,1.15397,1.00172,0.000582719,0.000582719,0.000582719
43,232.898,0.63484,0.66388,0.9356,0.69668,0.67956,0.7134,0.58647,0.67276,1.01753,1.01061,0.000581687,0.000581687,0.000581687
44,241.969,0.6469,0.69296,0.954,0.65058,0.68829,0.73395,0.5988,0.75407,1.10975,1.05466,0.000580656,0.000580656,0.000580656
45,252.037,0.66749,0.70467,0.94361,0.70992,0.64112,0.7161,0.57677,0.69718,1.17216,1.01064,0.000579625,0.000579625,0.000579625
46,258.411,0.65396,0.68282,0.93957,0.68654,0.71977,0.76006,0.61366,0.69777,0.99372,0.99475,0.000578594,0.000578594,0.000578594
47,263.807,0.67934,0.7031,0.96231,0.72259,0.64657,0.73122,0.58651,0.72639,1.07499,0.99951,0.000577563,0.000577563,0.000577563
48,268.819,0.65267,0.69664,0.94622,0.60083,0.66474,0.67613,0.5422,0.75452,1.12422,1.01144,0.000576531,0.000576531,0.000576531
49,273.914,0.6603,0.67453,0.9356,0.62339,0.64643,0.68535,0.5607,0.71211,1.11748,1.02354,0.0005755,0.0005755,0.0005755
50,279.048,0.66608,0.67027,0.94476,0.72279,0.65223,0.74038,0.60568,0.71826,0.9496,1.051,0.000574469,0.000574469,0.000574469
51,284.049,0.63545,0.63075,0.93635,0.68957,0.70068,0.75563,0.6168,0.66409,0.9052,1.00547,0.000573438,0.000573438,0.000573438
52,289.255,0.66481,0.65895,0.94867,0.74212,0.69166,0.77605,0.61805,0.72419,0.88789,1.0069,0.000572406,0.000572406,0.000572406
53,294.522,0.63622,0.61758,0.94525,0.71092,0.64955,0.71872,0.57739,0.76301,1.0046,1.03269,0.000571375,0.000571375,0.000571375
54,300.111,0.63887,0.61247,0.94785,0.7784,0.61445,0.73546,0.59479,0.76125,1.17203,1.02286,0.000570344,0.000570344,0.000570344
55,305.435,0.64182,0.6017,0.93037,0.72427,0.61283,0.7222,0.58349,0.72346,1.12092,0.98971,0.000569313,0.000569313,0.000569313
56,311.393,0.61702,0.57101,0.93985,0.76567,0.67489,0.78196,0.63693,0.66767,0.85981,0.99424,0.000568281,0.000568281,0.000568281
57,317.277,0.63836,0.60723,0.93763,0.82408,0.65296,0.77579,0.63021,0.6665,0.91852,0.99732,0.00056725,0.00056725,0.00056725
58,322.342,0.62295,0.59249,0.93899,0.75606,0.669,0.74594,0.60156,0.68241,1.01107,0.99142,0.000566219,0.000566219,0.000566219
59,327.612,0.62389,0.58185,0.92173,0.68216,0.66184,0.7086,0.57217,0.71127,0.99707,0.9823,0.000565188,0.000565188,0.000565188
60,333.257,0.63252,0.59192,0.93517,0.69261,0.70343,0.73942,0.59876,0.69823,0.93116,0.99604,0.000564156,0.000564156,0.000564156
61,339.453,0.61335,0.56666,0.91441,0.70437,0.66053,0.72743,0.5958,0.66407,0.90637,0.99607,0.000563125,0.000563125,0.000563125
62,345.187,0.61484,0.59005,0.92931,0.71344,0.64151,0.73185,0.60087,0.67391,0.97198,1.00527,0.000562094,0.000562094,0.000562094
63,350.4,0.60373,0.56211,0.91596,0.69011,0.65718,0.73593,0.59363,0.74016,1.04204,1.00303,0.000561063,0.000561063,0.000561063
64,355.56,0.63062,0.57968,0.93102,0.75845,0.64569,0.76603,0.61006,0.71402,0.81838,1.02043,0.000560031,0.000560031,0.000560031
65,360.891,0.59507,0.56481,0.9303,0.66692,0.72135,0.75001,0.6074,0.69611,0.94067,1.00767,0.000559,0.000559,0.000559
66,366.264,0.59312,0.54756,0.92511,0.74146,0.67524,0.75642,0.61586,0.68495,0.9536,1.01322,0.000557969,0.000557969,0.000557969
67,371.579,0.613,0.54757,0.92341,0.77168,0.69073,0.76952,0.61008,0.71114,0.90407,1.00657,0.000556938,0.000556938,0.000556938
68,376.576,0.60269,0.58349,0.9296,0.71093,0.67309,0.74963,0.60591,0.67649,0.92794,0.97963,0.000555906,0.000555906,0.000555906
69,381.621,0.59927,0.55347,0.92364,0.67291,0.72361,0.74259,0.60393,0.67446,0.98309,0.99864,0.000554875,0.000554875,0.000554875
70,386.743,0.63794,0.56049,0.93535,0.70369,0.71908,0.75458,0.60808,0.68216,1.01827,0.99168,0.000553844,0.000553844,0.000553844
71,392.438,0.58978,0.51687,0.91125,0.67914,0.75234,0.76161,0.61813,0.6899,1.00924,1.00761,0.000552813,0.000552813,0.000552813
72,398.368,0.60298,0.53816,0.92872,0.73043,0.6871,0.75217,0.62214,0.68682,0.97982,1.01007,0.000551781,0.000551781,0.000551781
73,404.249,0.58709,0.52888,0.91224,0.66189,0.71811,0.7117,0.58598,0.6679,0.96775,0.98901,0.00055075,0.00055075,0.00055075
74,410.274,0.57428,0.50804,0.91594,0.74001,0.69265,0.74587,0.61257,0.68417,0.94142,1.0203,0.000549719,0.000549719,0.000549719
75,415.777,0.58488,0.52972,0.9187,0.69921,0.71767,0.75251,0.62001,0.70739,0.96495,1.02813,0.000548688,0.000548688,0.000548688
76,421.268,0.58134,0.51459,0.91723,0.78937,0.73526,0.79024,0.64694,0.67717,0.90802,1.02738,0.000547656,0.000547656,0.000547656
77,427.228,0.56572,0.49469,0.91825,0.75103,0.68674,0.74359,0.60688,0.64967,1.1045,0.96367,0.000546625,0.000546625,0.000546625
78,433.19,0.60199,0.53279,0.92809,0.73361,0.69697,0.76112,0.62708,0.66642,0.88916,1.01986,0.000545594,0.000545594,0.000545594
79,439.298,0.58358,0.50546,0.91375,0.73582,0.67839,0.75091,0.61541,0.66705,1.10482,0.99023,0.000544563,0.000544563,0.000544563
80,445.174,0.57797,0.51232,0.91607,0.74972,0.71054,0.77627,0.64273,0.62955,0.85004,0.96223,0.000543531,0.000543531,0.000543531
81,451.414,0.55287,0.48632,0.90633,0.78706,0.68643,0.79518,0.65512,0.66239,0.88054,1.00899,0.0005425,0.0005425,0.0005425
82,457.809,0.57729,0.53212,0.92673,0.73827,0.7051,0.77942,0.6335,0.71149,0.9164,1.01593,0.000541469,0.000541469,0.000541469
83,463.044,0.59424,0.53523,0.92847,0.7301,0.69151,0.74865,0.61535,0.68337,0.94511,0.99329,0.000540438,0.000540438,0.000540438
